run_id,run_name,env,noise,is_rt,seed,val_accuracy
qq7xz2r8,ppo_merge-v0_1789_comparative_1789_nfeedback_5000,merge-v0,0.0,False,1789,0.8602150678634644
o1urifdi,ppo_merge-v0_1789_comparative_1789_nfeedback_5000_rt1.0,merge-v0,0.0,True,1789,0.8613333106040955
u3dz2bwh,ppo_merge-v0_330_comparative_330_nfeedback_5000,merge-v0,0.0,False,330,0.8413978219032288
cwuesvoz,ppo_merge-v0_330_comparative_330_nfeedback_5000_rt1.0,merge-v0,0.0,True,330,0.8346666693687439
lntavvji,ppo_merge-v0_912391_comparative_912391_nfeedback_5000_rt1.0,merge-v0,0.0,True,912391,0.8479999899864197
n9n77dk1,ppo_merge-v0_912391_comparative_912391_nfeedback_5000,merge-v0,0.0,False,912391,0.8534946441650391
ksj2tz8h,ppo_merge-v0_1789_comparative_1789_noise_0.1_nfeedback_5000,merge-v0,0.1,False,1789,0.8400537371635437
xt0j9h6v,ppo_merge-v0_1789_comparative_1789_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,1789,0.8453333377838135
12m125ut,ppo_merge-v0_912391_comparative_912391_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,912391,0.8413333296775818
2fgbo4dn,ppo_merge-v0_12_comparative_12_nfeedback_5000_rt1.0,merge-v0,0.0,True,12,0.8253333568572998
e9km5qfi,ppo_merge-v0_1687123_comparative_1687123_nfeedback_5000_rt1.0,merge-v0,0.0,True,1687123,0.843999981880188
jca3hhp7,ppo_merge-v0_12_comparative_12_nfeedback_5000,merge-v0,0.0,False,12,0.8333333134651184
lhne2822,ppo_merge-v0_912391_comparative_912391_noise_0.1_nfeedback_5000,merge-v0,0.1,False,912391,0.8467742204666138
lxfl6jb4,ppo_merge-v0_1687123_comparative_1687123_nfeedback_5000,merge-v0,0.0,False,1687123,0.8387096524238586
xs4k2c9y,ppo_merge-v0_330_comparative_330_noise_0.1_nfeedback_5000,merge-v0,0.1,False,330,0.8185483813285828
yqdyl98e,ppo_merge-v0_330_comparative_330_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,330,0.8213333487510681
794u8a6w,ppo_merge-v0_12_comparative_12_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,12,0.765333354473114
c71q6wjl,ppo_merge-v0_912391_comparative_912391_noise_0.5_nfeedback_5000,merge-v0,0.5,False,912391,0.7190860509872437
dr3gye7h,ppo_merge-v0_912391_comparative_912391_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,912391,0.8266666531562805
fd9ifl9n,ppo_merge-v0_12_comparative_12_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,12,0.7026666402816772
hxgh0rjq,ppo_merge-v0_12_comparative_12_noise_0.25_nfeedback_5000,merge-v0,0.25,False,12,0.7580645084381104
k1ssu6bo,ppo_merge-v0_912391_comparative_912391_noise_0.25_nfeedback_5000,merge-v0,0.25,False,912391,0.8131720423698425
naygp7ro,ppo_merge-v0_12_comparative_12_noise_0.5_nfeedback_5000,merge-v0,0.5,False,12,0.7096773982048035
qqefs1ai,ppo_merge-v0_912391_comparative_912391_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,912391,0.7279999852180481
3teg49zd,ppo_merge-v0_12_comparative_12_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,12,0.809333324432373
hgii62sb,ppo_merge-v0_1687123_comparative_1687123_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,1687123,0.8253333568572998
pdouikhu,ppo_merge-v0_1687123_comparative_1687123_noise_0.1_nfeedback_5000,merge-v0,0.1,False,1687123,0.8198924660682678
pp4ilr22,ppo_merge-v0_12_comparative_12_noise_0.1_nfeedback_5000,merge-v0,0.1,False,12,0.8158602118492126
1woklr6m,ppo_merge-v0_1789_comparative_1789_noise_0.25_nfeedback_5000,merge-v0,0.25,False,1789,0.7916666865348816
4pox35s8,ppo_merge-v0_1789_comparative_1789_noise_0.5_nfeedback_5000,merge-v0,0.5,False,1789,0.6948924660682678
5s2v1rp5,ppo_merge-v0_1687123_comparative_1687123_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,1687123,0.7946666479110718
720bl6ms,ppo_merge-v0_1687123_comparative_1687123_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,1687123,0.7146666646003723
hvyrt5p3,ppo_merge-v0_1687123_comparative_1687123_noise_0.25_nfeedback_5000,merge-v0,0.25,False,1687123,0.7956989407539368
mnaz8gfr,ppo_merge-v0_1687123_comparative_1687123_noise_0.5_nfeedback_5000,merge-v0,0.5,False,1687123,0.7231183052062988
p259a34f,ppo_merge-v0_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,1789,0.7039999961853027
zoonv9t0,ppo_merge-v0_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,1789,0.8080000281333923
d4ct9sxl,ppo_merge-v0_330_comparative_330_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,330,0.7973333597183228
d5rfgqmw,ppo_merge-v0_330_comparative_330_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,330,0.7226666808128357
hxfa3848,ppo_merge-v0_330_comparative_330_noise_0.5_nfeedback_5000,merge-v0,0.5,False,330,0.7123655676841736
q5f10b61,ppo_merge-v0_330_comparative_330_noise_0.25_nfeedback_5000,merge-v0,0.25,False,330,0.7862903475761414
