run_id,run_name,env,noise,is_rt,seed,global_step_history,reward_history
2d9xpyhf,RL_ppo_merge-v0_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,merge-v0,0.5,True,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.860224, 9.103676, 9.495329, 10.835305, 10.854159, 10.711637, 11.120232, 11.449921, 11.167706, 11.375566, 11.554182, 12.007301, 12.492828, 12.779408, 12.77649, 12.6772785, 12.71739, 12.835752, 12.8165, 12.515897, 12.898497, 11.689576, 12.943159, 12.795983]"
8ob7idy9,RL_ppo_merge-v0_1789_comparative_1789_noise_0.5_nfeedback_5000,merge-v0,0.5,False,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.741578, 9.069904, 10.111655, 10.002954, 9.675001, 10.888777, 10.425032, 11.418936, 10.939656, 11.126838, 11.631256, 11.057261, 12.253331, 11.162703, 11.915577, 11.71262, 11.571889, 11.837732, 12.063008, 11.919931, 11.673416, 12.074806, 12.370207, 11.87931]"
9goclrfs,RL_ppo_merge-v0_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,merge-v0,0.25,True,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 8.039582, 9.088679, 9.825344, 10.202552, 10.8647585, 10.715159, 11.308249, 11.640186, 11.08522, 11.241824, 11.30641, 11.316706, 11.951144, 12.153675, 12.087421, 12.347898, 12.092014, 12.178071, 12.210899, 12.674964, 12.556017, 12.246518, 12.685938, 12.910985]"
dveyaaft,RL_ppo_merge-v0_1789_comparative_1789_nfeedback_5000_rt1.0,merge-v0,0.0,True,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.749292, 8.50422, 9.379836, 10.340845, 9.888692, 10.2922325, 10.859386, 11.475355, 11.088186, 11.222547, 11.103023, 11.899288, 11.384442, 11.696189, 11.808615, 12.404662, 12.3798065, 12.603833, 12.519202, 12.809913, 12.583641, 12.895582, 12.920526, 12.472105]"
f9nf8vs5,RL_ppo_merge-v0_1789_comparative_1789_noise_0.1_nfeedback_5000,merge-v0,0.1,False,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.797419, 7.54883, 9.037693, 9.534989, 9.388635, 9.701633, 10.603983, 10.86657, 10.605155, 10.689526, 10.596193, 11.313959, 10.72468, 11.549748, 11.604002, 11.358731, 11.6204195, 12.067994, 11.434738, 11.171224, 12.056656, 12.478938, 11.997816, 11.396641]"
inkp86xb,RL_ppo_merge-v0_1789_comparative_1789_nfeedback_5000,merge-v0,0.0,False,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.459437, 7.55656, 8.346888, 9.950967, 10.494477, 10.120002, 11.165125, 10.789266, 10.888082, 10.87003, 11.130702, 11.57138, 11.508179, 11.15962, 11.921306, 10.957046, 10.912535, 12.113153, 11.718478, 10.754717, 10.189021, 11.477726, 12.163591, 11.354514]"
mim1rvhw,RL_ppo_merge-v0_1789_comparative_1789_noise_0.1_nfeedback_5000_rt1.0,merge-v0,0.1,True,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.985665, 9.147967, 9.648059, 10.432119, 10.297715, 10.398332, 11.049085, 11.52684, 11.290998, 11.320298, 11.818979, 12.274683, 11.779664, 11.63501, 12.19878, 12.1044445, 12.663221, 12.841777, 12.715064, 12.4993925, 12.383101, 12.687998, 12.928379, 12.836703]"
rysqlzo5,RL_ppo_merge-v0_1789_comparative_1789_noise_0.25_nfeedback_5000,merge-v0,0.25,False,1789,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[6.853805, 7.591658, 8.703472, 9.513019, 10.236749, 9.910345, 10.290237, 10.94184, 11.3740425, 10.548028, 11.035015, 11.270546, 11.596897, 11.579585, 11.37676, 11.785536, 11.915759, 11.403543, 11.514074, 11.925336, 11.622312, 11.332396, 12.193892, 12.32953, 12.179907]"
09yew8gw,RL_ppo_merge-v0_12_comparative_12_noise_0.5_nfeedback_5000,merge-v0,0.5,False,12,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.20485, 6.907461, 8.774509, 8.550499, 9.89925, 10.303332, 10.927835, 11.053573, 10.836549, 10.863906, 11.23679, 11.063651, 10.428879, 11.261647, 10.906163, 11.441624, 10.949861, 10.24955, 10.838936, 11.52365, 10.33203, 11.016863, 11.010501, 10.702568, 11.197956]"
1dmofgyi,RL_ppo_merge-v0_12_comparative_12_noise_0.25_nfeedback_5000,merge-v0,0.25,False,12,"[4096, 8192, 12288, 16384, 20480, 24576, 28672, 32768, 36864, 40960, 45056, 49152, 53248, 57344, 61440, 65536, 69632, 73728, 77824, 81920, 86016, 90112, 94208, 98304, 102400]","[7.20485, 7.02919, 8.645705, 9.095536, 9.709543, 10.634275, 10.310857, 10.476242, 11.574186, 10.324212, 10.282126, 10.614446, 10.4012375, 11.173364, 10.740777, 11.028619, 10.770169, 10.345672, 10.798301, 10.832594, 10.334062, 11.113124, 11.276237, 11.189027, 10.943796]"
