run_id,run_name,env,noise,is_rt,seed,global_step_history,reward_history
07btcahj,RL_ppo_Swimmer-v5_1789_comparative_1789_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[26.997036, -7.2830944, 25.890026, 25.8118, 27.239697, 29.682302, 33.21111, 31.346045, 32.75863, 30.88468, 34.02773, 38.868183, 43.49919, 42.0168, 40.432354, 35.563805, 24.173164, 1.8100624, -0.6361974, 0.8837358, -4.9819026, 7.6781073, 3.3125687, 23.57243, 21.76924, 26.867802, 26.069777, 23.101538, 29.244932, 29.021097, 31.022434, 33.737804, 32.66867, 33.38513, 32.486427, 32.829834, 32.183308, 30.401714, 30.239819, 30.12781, 32.12601, 32.41015, 33.502213, 33.000557, 32.871487, 32.258823, 32.391415, 32.841263, 32.11567, 30.339735, 28.9282, 33.837566, 32.366943, 33.13638, 34.169395, 33.761288, 34.961555, 35.250828, 34.424408, 34.135387, 34.937977, 34.19242, 36.607933, 35.15607, 35.157085, 34.327114, 37.61482, 32.169476, 33.30372, 33.308327, 33.174633, 31.914715, 29.64172, 29.860897, 31.365168, 31.54114, 32.139385, 31.625942, 30.199335, 31.62107, 29.521658, 32.159912, 27.258505, 33.654236, 32.082188, 35.152897, 34.800415, 33.989975, 34.208584, 35.05826, 34.742004, 35.422066, 33.750237, 34.03251, 34.07834, 33.89954, 34.74041, 38.043106, 34.66495, 37.939415]"
11xxt51w,RL_ppo_HalfCheetah-v5_12_comparative_12_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,12,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[1.5604233, 751.25555, 587.71075, 820.15356, 379.02356, 1166.0928, 1369.7513, 1657.3783, 2085.5002, 2448.8655, 2535.4275, 2783.6965, 3024.9326, 3181.7534, 3206.7542, 3335.4485, 3357.7898, 3525.2117, 3641.6812, 3720.4822, 3781.1646, 3837.9438, 3947.008, 4023.857, 4058.6992, 4085.885, 4066.4495, 4164.2915, 4176.0063, 4220.8115, 4228.4707, 4277.4385, 4369.542, 4335.422, 4327.714, 4397.381, 4461.1895, 4517.4775, 4516.203, 4541.5337, 4619.1187, 4596.461, 4671.424, 4640.2944, 4647.575, 4650.8223, 4662.0625, 4704.8594, 4678.4146, 4753.7563, 4813.9526, 4778.563, 4792.0337, 4841.654, 4893.701, 4908.8296, 4853.545, 4953.1313, 4891.5083, 4961.5986, 5009.303, 4982.212, 4984.408, 5037.9346, 4971.103, 4946.0347, 5037.454, 5088.174, 5055.863, 5089.955, 5064.652, 5047.7607, 5031.037, 5032.213, 5038.991, 5074.2646, 5080.8477, 5073.255, 5130.5405, 5087.5635, 5105.928, 5162.5625, 5139.856, 5178.9736, 5121.2417, 5208.096, 5167.1875, 5176.4165, 5130.742, 5154.4517, 5192.865, 5192.9507, 5153.7617, 5172.1543, 5210.35, 5259.216, 5088.815, 4728.195, 4195.26, 5049.274]"
z7d2bi6e,RL_ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.25_nfeedback_5000,HalfCheetah-v5,0.25,False,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[-1.1534704, -0.936648, -2.2491481, 187.94691, 190.3355, 241.73703, 228.3145, 325.9081, 471.28696, 464.06934, 688.07477, 762.72833, 841.33624, 946.12415, 1051.5747, 1053.958, 1236.7029, 1252.8905, 1321.4114, 1309.5151, 1267.8845, 1304.1362, 1282.6504, 1304.8706, 1409.0488, 1378.9337, 1422.0542, 1496.6556, 1509.9304, 1730.2096, 1703.4177, 1660.0648, 1773.2837, 1852.785, 1943.0183, 2091.218, 2180.9365, 2333.5464, 2089.8167, 2483.3354, 2441.748, 2582.267, 2634.0183, 2660.9502, 2771.8088, 2875.2576, 2962.77, 3026.9202, 3278.0842, 3126.0132, 3212.954, 3308.6677, 3189.0483, 3365.2844, 3712.258, 3464.2437, 3571.0356, 3763.0671, 3700.015, 3903.4043, 3824.838, 3788.793, 3921.5278, 4070.0312, 3899.7993, 4032.3347, 4107.8115, 4237.907, 4259.5845, 4495.6133, 4662.2363, 4542.7236, 4460.361, 4299.3877, 4492.772, 4627.6265, 4667.975, 4702.8623, 4883.45, 5058.136, 4753.513, 4839.2583, 4779.108, 4997.468, 5154.792, 5196.439, 5055.7075, 4951.591, 5107.101, 5304.001, 5180.908, 5219.3955, 5223.114, 5484.541, 5287.619, 5458.2334, 5617.778, 5474.9233, 5613.4253, 5570.8926]"
xevv7rbr,RL_ppo_HalfCheetah-v5_12_comparative_12_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,12,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[0.1884712, 1.8576672, 832.8399, 1179.0414, 1084.289, 1134.3738, 1208.9286, 1093.5245, 1635.3883, 1535.405, 1620.1012, 1866.8251, 1850.9712, 2125.7407, 2189.72, 2139.9104, 2390.1082, 2519.2341, 2669.8987, 2682.8054, 2911.644, 2949.592, 3008.1223, 3114.3306, 3249.2378, 3224.9363, 3203.8542, 3219.2605, 3409.7822, 3413.4265, 3447.7349, 3334.6682, 3497.1907, 3710.4004, 3736.228, 3235.015, 3700.1655, 3659.371, 3820.4731, 3856.0327, 3949.666, 3955.793, 4031.8318, 3642.2454, 4124.2285, 4159.1895, 4186.6587, 4155.3013, 4160.425, 4185.3687, 4180.6074, 4219.4707, 4315.032, 4360.6772, 3576.5017, 4354.899, 4235.1606, 3606.519, 3364.0337, 4444.603, 4388.68, 4413.31, 4358.8955, 4407.662, 4489.671, 4437.559, 4485.493, 4441.891, 3651.905, 4490.199, 3595.8474, 4527.4253, 3671.9163, 4524.94, 4486.323, 4532.9565, 4585.228, 4590.7397, 4594.5796, 3703.6453, 4485.6016, 4524.908, 4583.1743, 3794.8865, 4618.5645, 4592.78, 3776.7969, 4606.694, 3813.3389, 4604.1113, 3746.018, 4659.5815, 4608.1904, 3018.2197, 4560.4316, 4638.087, 4606.933, 4674.137, 4673.221, 4681.68]"
wsano1tl,RL_ppo_Swimmer-v5_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[27.762321, 23.593699, 27.699154, 27.154646, 29.639927, 34.27729, 41.487377, 41.494488, 42.00491, 42.459743, 43.93049, 42.367085, 42.881207, 41.37494, 42.27621, 42.747066, 42.388252, 37.289413, 39.900707, 41.39883, 39.07141, 41.757782, 40.534462, 40.96346, 38.820503, 39.411224, 38.287888, 39.45875, 38.708843, 36.923553, 37.076473, 33.880314, 32.46967, 33.868515, 31.713448, 31.303297, 31.538208, 32.66553, 34.407036, 33.611866, 32.754272, 34.25036, 30.88357, 31.941816, 32.1906, 33.588192, 31.491058, 34.1305, 31.694468, 33.899506, 29.643515, 31.239843, 31.633636, 33.293427, 33.58113, 31.565786, 33.920135, 34.239258, 32.741535, 33.77639, 34.807804, 32.421803, 34.507645, 34.293804, 34.6172, 33.702454, 37.86547, 33.9039, 37.951996, 34.90033, 35.52418, 33.697437, 27.594187, 29.029655, 30.382498, 29.807838, 32.62185, 29.577696, 25.516748, 24.907473, 26.334623, 28.550306, 23.141628, 23.631086, 19.044964, 27.08639, 28.497324, 33.46923, 37.834305, 36.469368, 27.26575, 40.52528, 35.053833, 34.315636, 34.31966, 25.815132, 30.171427, 27.361963, 36.248425, 38.671703]"
lf51vqas,RL_ppo_HalfCheetah-v5_1789_comparative_1789_noise_0.25_nfeedback_5000_rt1.0,HalfCheetah-v5,0.25,True,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[-1.154177, -1.18137, 57.945477, 1452.8461, 1807.0026, 2505.6719, 2573.012, 2956.5796, 3056.4475, 3062.6033, 3101.7217, 2568.3403, 2063.7463, 3136.8105, 2921.7644, 3250.4658, 3362.6343, 3312.8706, 3450.0828, 3562.733, 3752.411, 3740.7732, 3748.6719, 3871.1545, 3882.7424, 3814.6763, 3924.7761, 3215.268, 4101.294, 4232.682, 4397.9487, 4357.296, 4339.039, 4323.5405, 4374.0327, 4322.9375, 3455.453, 4361.557, 4481.524, 2638.0435, 4466.593, 4578.997, 4546.5547, 4603.946, 3829.3943, 4806.795, 3868.1885, 4877.8174, 3927.08, 4893.313, 4976.105, 5046.7236, 5157.4683, 3282.3052, 5183.339, 5066.802, 5119.8477, 4234.983, 5440.4663, 5360.2227, 5397.9883, 5479.5327, 3588.0178, 4934.48, 5532.9385, 5220.703, 5555.385, 5170.7285, 5448.7305, 5567.4434, 4600.7896, 5727.1265, 5610.9136, 5794.1953, 5996.3, 5945.1304, 6097.505, 6100.887, 4517.0625, 5761.6494, 5398.107, 6202.451, 6030.836, 5835.824, 6282.116, 5255.8936, 6016.602, 6230.477, 6235.173, 6243.5093, 6504.468, 6566.769, 6619.5786, 6709.9863, 6720.865, 6184.5005, 6692.918, 6678.02, 6796.4263, 6338.555]"
03yaynup,RL_ppo_Swimmer-v5_330_comparative_330_noise_0.25_nfeedback_5000,Swimmer-v5,0.25,False,330,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[-16.80592, -20.798744, -11.179508, 1.4889696, -0.774568, 0.3785474, 1.1912903, 0.5857816, 9.74298, 12.46239, -1.138146, 6.7893014, 8.016278, 1.2251694, -0.2214076, -5.1445947, -3.602553, 4.4908752, 2.4070597, -6.9366126, 5.556123, -5.5352097, 1.1892444, -5.462299, -9.692419, -15.513824, -2.5234976, -10.468047, -9.199502, -3.4382808, -3.5558856, -4.758104, -2.0300274, -1.9081812, -3.6807992, -0.3140078, -12.729769, -7.6047792, -10.420851, -4.4698253, -6.002684, -2.3487356, -6.0213814, 7.3614836, 14.019585, 5.494889, 8.03533, 10.57842, 11.265632, 12.307484, 2.8633249, 14.545327, 8.508207, 15.2485895, 16.231676, 18.204441, 13.071228, 13.386411, 10.665133, 16.674606, 12.068428, 14.409951, 16.59327, 20.01911, 17.739376, 19.516441, 18.606539, 21.422033, 27.496244, 19.420845, 12.938901, 15.9771805, 19.168812, 19.628979, 20.66699, 24.129585, 19.595564, 17.383732, 26.965923, 28.029837, 23.32855, 25.549818, 22.665133, 18.069305, 19.085354, 25.507275, 31.07074, 24.336672, 23.24958, 25.585588, 20.313723, 17.60808, 13.691712, 10.6398945, 13.160205, 13.986992, 19.17339, 19.130148, 16.275023, 10.957989]"
ymf8akv5,RL_ppo_Swimmer-v5_330_comparative_330_noise_0.25_nfeedback_5000_rt1.0,Swimmer-v5,0.25,True,330,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[5.572544, 20.383389, 7.502805, 29.50426, 30.676453, 32.94523, 35.020203, 32.396656, 26.574524, 9.665737, -3.0582402, -16.842417, -19.131193, -15.498859, -16.606064, -17.293938, -19.1575, -11.6474905, -7.784162, 1.4317508, -1.9185562, -3.436661, -4.967943, -6.174915, -5.821275, -9.308824, -8.2548, -13.303655, -8.890657, -18.685179, -11.010593, -12.557627, -15.587099, -5.685776, 0.4787806, 2.4985132, -4.2983365, -5.10463, -11.854315, -4.6860323, -9.660921, -16.899603, 2.2315683, -3.3991551, 4.230551, -4.9506354, -13.0356, -8.866633, -11.708895, -16.366581, -13.615568, -6.478595, -4.3381906, -4.238135, -0.8111026, -1.1343416, -4.978313, -14.806407, -0.5221424, 1.8143672, 0.583884, -17.331474, -15.537878, -43.61609, -20.581524, -26.146412, -28.978783, -4.9657884, -13.783732, -18.977043, -25.510185, -15.41566, -13.282598, -11.381979, -10.918748, -20.370882, -15.163272, -21.744907, -12.711426, -26.661623, -23.755705, -14.706158, -19.594622, -27.075577, -18.938948, -22.258507, -19.336819, -11.862709, -20.809813, -23.436995, -14.406285, -22.240383, -10.145918, -14.790457, -15.981445, -19.544193, -20.431538, -26.594112, -20.450874, -28.805136]"
2ehdh41t,RL_ppo_Swimmer-v5_1789_comparative_1789_noise_0.5_nfeedback_5000,Swimmer-v5,0.5,False,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[24.091677, 2.1491325, 27.237532, 26.289558, 27.257515, 28.912533, 29.92693, 30.743317, 30.332773, 31.564852, 33.937767, 34.06495, 35.477123, 33.566383, 25.517239, -6.0140815, -13.231826, -9.7091875, -17.31266, -14.10206, -16.86548, -14.852249, -18.785498, -10.79336, -11.164255, -1.0173916, -4.5676656, 7.3152804, 9.672208, 8.99186, 14.35032, 17.978283, 18.911274, 24.923595, 20.505402, 23.54132, 25.1479, 23.847704, 25.6439, 25.373, 26.527489, 29.36288, 29.095245, 22.929169, 26.492054, 28.937777, 27.621025, 28.784302, 28.759663, 28.70852, 27.883625, 27.108494, 25.148388, 26.120407, 29.055935, 28.057505, 27.809137, 28.220522, 26.677172, 27.75404, 28.116688, 29.097385, 28.866617, 29.704277, 28.728167, 27.672445, 31.276215, 28.575603, 32.549416, 31.794111, 33.248993, 34.512028, 28.78097, 31.589483, 30.506065, 30.884207, 31.738846, 31.02974, 28.98516, 31.707163, 32.501347, 34.408924, 32.983845, 31.660286, 30.127672, 32.969738, 31.74814, 32.159904, 39.547077, 35.15828, 34.350956, 36.731457, 33.313564, 30.519623, 31.610468, 30.740078, 29.215466, 32.437664, 30.541288, 31.620424]"
wj86x5e6,RL_ppo_Swimmer-v5_1789_comparative_1789_noise_0.5_nfeedback_5000_rt1.0,Swimmer-v5,0.5,True,1789,"[10000.0, 20000.0, 30000.0, 40000.0, 50000.0, 60000.0, 70000.0, 80000.0, 90000.0, 100000.0, 110000.0, 120000.0, 130000.0, 140000.0, 150000.0, 160000.0, 170000.0, 180000.0, 190000.0, 200000.0, 210000.0, 220000.0, 230000.0, 240000.0, 250000.0, 260000.0, 270000.0, 280000.0, 290000.0, 300000.0, 310000.0, 320000.0, 330000.0, 340000.0, 350000.0, 360000.0, 370000.0, 380000.0, 390000.0, 400000.0, 410000.0, 420000.0, 430000.0, 440000.0, 450000.0, 460000.0, 470000.0, 480000.0, 490000.0, 500000.0, 510000.0, 520000.0, 530000.0, 540000.0, 550000.0, 560000.0, 570000.0, 580000.0, 590000.0, 600000.0, 610000.0, 620000.0, 630000.0, 640000.0, 650000.0, 660000.0, 670000.0, 680000.0, 690000.0, 700000.0, 710000.0, 720000.0, 730000.0, 740000.0, 750000.0, 760000.0, 770000.0, 780000.0, 790000.0, 800000.0, 810000.0, 820000.0, 830000.0, 840000.0, 850000.0, 860000.0, 870000.0, 880000.0, 890000.0, 900000.0, 910000.0, 920000.0, 930000.0, 940000.0, 950000.0, 960000.0, 970000.0, 980000.0, 990000.0, 1000000.0]","[26.1565, 25.292362, 27.06088, 26.035305, 33.57144, 29.983074, 31.290415, 35.45878, 38.151222, 39.244873, 41.02492, 40.816425, 40.370934, 33.254448, 31.069042, 33.6303, 32.130386, 30.891737, 34.99312, 38.013565, 28.76309, 37.7351, 35.889454, 32.667698, 32.981487, 32.221832, 28.541283, 29.387926, 29.757212, 32.091393, 32.75923, 30.785873, 31.346336, 33.658295, 29.265268, 29.060051, 28.656626, 28.020159, 29.982328, 28.22479, 26.826633, 27.45201, 27.08454, 24.432508, 24.055056, 26.289347, 26.07807, 25.425686, 27.351357, 27.307764, 25.243639, 26.941397, 24.630398, 26.52222, 28.301458, 27.319529, 28.399763, 29.415098, 28.20741, 28.612526, 28.845072, 28.487936, 30.085571, 30.402935, 29.38779, 26.115255, 30.688297, 26.05411, 28.4054, 31.657085, 33.890305, 32.18769, 29.086441, 29.419992, 28.330164, 26.161459, 28.109112, 26.374544, 22.83397, 23.050629, 23.264301, 26.85729, 25.358425, 27.312824, 25.18657, 33.113476, 29.006838, 29.539742, 30.34695, 30.794163, 29.99053, 34.889183, 32.489384, 32.226955, 33.57082, 28.016083, 28.034279, 30.339361, 24.698465, 24.319403]"
